id,nct_id,outcome_id,non_inferiority_type,non_inferiority_description,param_type,param_value,dispersion_type,dispersion_value,p_value_modifier,p_value,ci_n_sides,ci_percent,ci_lower_limit,ci_upper_limit,ci_upper_limit_na_comment,p_value_description,method,method_description,estimate_description,groups_description,other_analysis_description,ci_upper_limit_raw,ci_lower_limit_raw,p_value_raw
52528422,NCT01280552,103259256,SUPERIORITY_OR_OTHER,,,,,,,0.01,TWO_SIDED,,,,,Stratified for age and MGMT methylation status,Log Rank,,,Stratified log rank p value stratified for age and MGMT methylation status,,,,0.010
52528423,NCT01280552,103259258,SUPERIORITY_OR_OTHER,,,,,,,0.033,TWO_SIDED,,,,,Analyses were stratified for age and MGMT methylation status.,Log Rank,,,,,,,0.033
52528424,NCT02016625,103259259,NON_INFERIORITY_OR_EQUIVALENCE,"Null hypothesis (H0): ratio is outside of interval (80%, 125%) vs. alternative hypothesis (H1): ratio is inside of interval (80%, 125%)",gMean ratio (%),108.2,STANDARD_ERROR_OF_MEAN,11.5,,0.0033,TWO_SIDED,90.0,99.992,117.076,,,ANOVA,,ratio of cyclo + FDV to cyclo treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"Geometric mean (gMean) ratio of cyclo + FDV to cyclo treatment. The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,117.076,99.992,0.0033
52469282,NCT00151476,103160411,SUPERIORITY_OR_OTHER_LEGACY,,Kaplan-Meier Estimate of Time to Event,14.49,,,,,,95.0,3.48,301.64,,,,,Kaplan-Meier Estimate of Time to Event (months).,"Time to FAP-related surgical events (months); twenty-fifth (25th) percentile presented due to limited number of subjects.

Index date based on most recent colon and or rectum adenomatous polyps evaluation, most recent duodenal adenomatous polyps evaluation, and most recent desmoids tumors evaluation for Matched Control, Not Matched Celecoxib, and All Celecoxib Treated, respectively.

Only 13 matched pairs identified: p-values not computed in analysis of time-to-event endpoints",,301.64,3.48,
52469283,NCT00151476,103160411,SUPERIORITY_OR_OTHER_LEGACY,,Kaplan-Meier Estimate of Time to Event,5.06,,,,,,95.0,3.48,11.76,,,,,Kaplan-Meier Estimate of Time to Event (months).,Time to FAP-related surgical events (months); 25th percentile.,,11.76,3.48,
52528425,NCT02016625,103259260,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) vs. H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),106.6,STANDARD_ERROR_OF_MEAN,11.7,,0.0019,TWO_SIDED,90.0,98.36,115.534,,,ANOVA,,gMean ratio of cyclo+FDV to cyclo treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of cyclo+FDV to cyclo treatment The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,115.534,98.360,0.0019
52528426,NCT02016625,103259261,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) VS H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),90.14,STANDARD_ERROR_OF_MEAN,16.6,,0.0457,TWO_SIDED,90.0,80.281,101.205,,,ANOVA,,gMean ratio of cyclo+FDV to cyclo treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of cyclo+FDV to cyclo treatment The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,101.205,80.281,0.0457
52528427,NCT02016625,103259262,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) VS H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),140.98,STANDARD_ERROR_OF_MEAN,35.8,,0.8122,TWO_SIDED,90.0,111.772,177.833,,,ANOVA,,gMean ratio of cyclo+FDV to FDV treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of cyclo+FDV to FDV treatment. The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,177.833,111.772,0.8122
52528428,NCT02016625,103259263,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) VS H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),116.92,STANDARD_ERROR_OF_MEAN,11.0,,0.065,TWO_SIDED,90.0,108.674,125.801,,,ANOVA,,gMean ratio of cyclo+FDV to FDV treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of cyclo+FDV to FDV treatment. The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,125.801,108.674,0.0650
52588873,NCT00113880,103396380,SUPERIORITY_OR_OTHER,,,,,,,0.01,,,,,,"Due to the exploratory nature of the study and the lack of formal hypothesis testing, multiple confidence intervals (CIs) were constructed without multiplicity adjustment.",Exact method or Cox model,,,"Breast lump/cyst event rates were presented per 1,000 person-months. If the control group has no event, the relative risk (RR) or hazard ratio (HR) is not estimable.",,,,0.01
