id,nct_id,ctgov_group_code,result_type,title,description,outcome_id
325423802,NCT03431831,OG000,Outcome,FA+ Intervention Control,"All participants will receive diet/physical intervention. One arm will receive diet/physical activity intervention alone as a Intervention/usual care condition.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.",103647844.0
325423803,NCT03431831,OG001,Outcome,FA+ Counselling,"These participants will receive usual care and counseling in the form of motivational interviewing weekly with goal setting for the first 5 weeks and monthly intervention for the final 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Counselling: Usual care as listed in comparator intervention plus motivational interviewing to identify areas of barriers and how to overcome them, to help patient set achievable food, physical activity and beverage goals for themselves weekly and monthly. To identify whether knowledge or confidence counseling is more important for each participant and follow up with them. To help them learn self-management techniques for overeating.",103647844.0
325423804,NCT03431831,OG002,Outcome,FA+ Contrave,"These participants will receive usual care and prescription of Contrave for weight loss. They will be seen weekly for the first 5 weeks and monthly for the final 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Contrave: In addition to usual care as described in the comparator intervention, these participants will be prescribed Contrave and raised to the therapeutic dosage within one month. They will be monitored closely for side effects and meds adjusted accordingly.",103647844.0
325423805,NCT03431831,OG003,Outcome,FA+ Contrave and Counseling,"These participants will receive usual care of diet and physical activity recommendations and Contrave prescription and counseling (motivational interviewing interventions weekly for the first 5 weeks and then monthly for 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Counselling: Usual care as listed in comparator intervention plus motivational interviewing to identify areas of barriers and how to overcome them, to help patient set achievable food, physical activity and beverage goals for themselves weekly and monthly. To identify whether knowledge or confidence counseling is more important for each participant and follow up with them. To help them learn self-management techniques for overeating.

Contrave: In addition to usual care as described in the comparator intervention, these participants will be prescribed Contrave and raised to the therapeutic dosage within one month. They will be monitored closely for side effects and meds adjusted accordingly.

Contrave and Counseling: This group of participants will receive a combination of all the above interventions including diet/physical activity prescription, motivational interviewing and Contrave.",103647844.0
325026457,NCT00908895,OG000,Outcome,Radio-radial Fixator,"Patients are operated on using a radio-radial fixator (Distal radius fixator, Synthes)",103527277.0
325026458,NCT00908895,OG001,Outcome,Percutaneous Pinning,"Two K-wires inserted on a percutaneous way (dorsally and from the styloid), with a cast for 6 weeks",103527277.0
325026459,NCT00908895,OG000,Outcome,Radio-radial Fixator,"Patients are operated on using a radio-radial fixator (Distal radius fixator, Synthes)",103527278.0
325423806,NCT03431831,OG004,Outcome,FA- Intervention Control,"All participants will receive diet/physical intervention. One arm will receive diet/physical activity intervention alone as a Intervention/usual care condition.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.",103647844.0
325423807,NCT03431831,OG005,Outcome,FA- Counseling,"These participants will receive usual care and counseling in the form of motivational interviewing weekly with goal setting for the first 5 weeks and monthly intervention for the final 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Counselling: Usual care as listed in comparator intervention plus motivational interviewing to identify areas of barriers and how to overcome them, to help patient set achievable food, physical activity and beverage goals for themselves weekly and monthly. To identify whether knowledge or confidence counseling is more important for each participant and follow up with them. To help them learn self-management techniques for overeating.",103647844.0
325026460,NCT00908895,OG001,Outcome,Percutaneous Pinning,"Two K-wires inserted on a percutaneous way (dorsally and from the styloid), with a cast for 6 weeks",103527278.0
